store,avg_travel_time,business_communities,highways,design,accessibility,parking_space,store_size
"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",85.2,1,4,27,16,1,21658.9
"Walmart, 8333 Van Nuys Blvd, Panorama City",59.9,4,3,39,128,1,6846.67
"Walmart Supercenter, 7250 Carson Blvd, Long Beach",89.9,0,6,45,63,1,14722.62
"Walmart Supercenter, 19821 Rinaldi St, Porter Ranch",59.9,0,6,27,141,1,14264.98
"Target, 8840 Corbin Ave, Northridge",68.4,3,7,52,234,1,10838.32
"Kohl's, 8800 Corbin Ave, Northridge",67.8,3,7,49,204,1,7036.57
"Target, 11051 Victory Blvd, North Hollywood",53.8,3,6,16,19,1,12716.64
"Kohl's, 1201 S Fremont Ave, Alhambra",54.8,1,8,27,64,2,4716.49
"Target, 5500 W Sunset Blvd, Los Angeles",39.2,16,9,144,140,1,13887.22
"JCPenney, 20700 Avalon Blvd, Carson",72.7,1,5,44,89,1,9427.72
"Target, 20700 Avalon Blvd Suite 700, Carson",72.5,1,5,46,87,1,13993.9
"Target, 3535 S La Cienega Blvd, Los Angeles",54.8,12,7,79,397,6,16139.02
"Target, 1601 Kingsdale Ave, Redondo Beach",73.1,0,5,108,254,1,27160.96
"Target, 3471 W Century Blvd, Inglewood",73.6,3,3,45,266,1,13079.9
"Kohl's, 25375 Crenshaw Blvd, Torrance",86.8,0,3,67,55,1,4456.27
"Kohl's, 504 Huntington Dr, Monrovia",73.0,4,10,106,71,1,7212.63
"Walmart, 19503 S Normandie Ave, Torrance",67.2,4,6,23,24,1,15006.38
"Target, 6635 Fallbrook Ave, West Hills",72.4,0,4,34,161,1,10560.07
"Walmart Supercenter, 3705 E South St, Long Beach",85.1,1,4,66,7,1,12551.87
"Walmart Supercenter, 2770 E Carson St, Lakewood",85.2,1,3,44,27,1,14024.21
"Kohl's, 1799 Hawthorne Blvd, Redondo Beach",72.4,0,7,100,234,1,4006.96
"Walmart Neighborhood Market, 14441 S Inglewood Ave, Hawthorne",73.0,0,6,87,76,1,3476.08
"Marshalls, 14401 S Inglewood Ave, Hawthorne",72.7,0,7,88,77,1,3718.47
"Marshalls, 3420 W Century Blvd, Inglewood",72.8,3,2,42,164,1,3038.94
"Walmart, 2100 N Long Beach Blvd, Compton",77.6,1,7,30,21,1,14458.05
"JCPenney, 6420 Pacific Blvd, Huntington Park",66.8,0,8,55,45,1,1408.03
"Walmart Supercenter, 4651 Firestone Blvd, South Gate",77.4,3,3,37,59,1,14092.22
"Kohl's, 300 Stonewood St, Downey",90.2,18,7,45,49,1,5475.05
"JCPenney, 332 Stonewood St, Downey",89.0,23,7,49,48,1,9497.57
"Walmart Supercenter, 14501 Lakewood Blvd, Paramount",82.4,0,4,26,41,1,14329.48
"Target, 1800 Empire Ave, Burbank",48.5,2,11,56,37,1,15068.45
"Walmart Supercenter, 1301 N Victory Pl, Burbank",49.3,1,15,70,50,1,13145.82
"Walmart Supercenter, 26471 Carl Boyer Dr, Santa Clarita",82.9,1,3,17,69,1,21541.39
"Kohl's, 24200 Valencia Blvd, Valencia",78.5,3,3,68,255,1,8569.16
"JCPenney, 9301 Tampa Ave, Northridge",69.1,2,6,67,253,1,5411.52
"Walmart Supercenter, 9001 Apollo Way, Downey",85.7,3,6,32,53,1,14831.09
"Target, 3433 Sepulveda Blvd, Torrance",81.7,0,6,93,166,9,11338.24
"Kohl's, 872 New Los Angeles Ave, Moorpark",77.2,1,5,31,7,1,8205.39
